epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8035,1.13712,1.50622,1.26263,0.78746,0.67963,0.76848,0.59343,0.93363,0.76327,1.02247,1.785e-05,1.785e-05,1.785e-05
2,19.6976,1.2647,1.4131,1.29839,0.75844,0.70772,0.77961,0.60057,0.92167,0.7544,1.01522,3.6881e-05,3.6881e-05,3.6881e-05
3,26.4056,1.14357,1.2118,1.23802,0.78403,0.72581,0.78923,0.60178,0.91982,0.76605,1.01042,5.58754e-05,5.58754e-05,5.58754e-05
4,32.8414,1.06292,1.12386,1.19373,0.75904,0.73867,0.79251,0.6067,0.91877,0.77155,1.008,7.48053e-05,7.48053e-05,7.48053e-05
5,38.7277,1.21197,1.30558,1.27487,0.73487,0.75132,0.79943,0.62215,0.90797,0.76616,1.00414,9.36431e-05,9.36431e-05,9.36431e-05
6,44.68,1.16414,1.24255,1.22722,0.74059,0.76731,0.80095,0.62477,0.89959,0.75209,1.00167,0.000112361,0.000112361,0.000112361
7,50.6561,1.09373,1.11659,1.2062,0.7855,0.75534,0.80938,0.63162,0.8928,0.74181,1.00178,0.000117957,0.000117957,0.000117957
8,56.5062,1.15557,1.20483,1.24032,0.83136,0.73501,0.81402,0.63709,0.8814,0.72808,0.9969,0.000117581,0.000117581,0.000117581
9,62.3822,1.06254,1.07437,1.18785,0.8295,0.74768,0.82528,0.64869,0.86886,0.70277,0.99208,0.000117149,0.000117149,0.000117149
10,68.3623,1.07685,1.0769,1.16192,0.83075,0.76881,0.83633,0.65844,0.85689,0.68481,0.98607,0.000116661,0.000116661,0.000116661
11,74.2038,1.0145,0.95714,1.12131,0.8583,0.77398,0.841,0.66384,0.84584,0.65512,0.98043,0.000116117,0.000116117,0.000116117
12,80.0935,1.04487,1.06792,1.18858,0.86507,0.7821,0.84987,0.67534,0.84033,0.63736,0.97384,0.000115518,0.000115518,0.000115518
13,86.052,1.01391,1.02858,1.17268,0.87352,0.7742,0.85395,0.6754,0.83446,0.61789,0.97093,0.000114863,0.000114863,0.000114863
