epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.923432,1.41772,4.79233,1.4999,0.58771,0.43998,0.43468,0.30444,1.75977,2.15894,1.25704,0,0,0
2,1.70407,1.57613,5.46245,1.54903,0.59399,0.43333,0.43431,0.30446,1.73383,2.16373,1.24499,1.16644e-06,1.16644e-06,1.16644e-06
3,2.46789,1.37472,4.96522,1.58127,0.59176,0.43333,0.43422,0.30443,1.75349,2.1548,1.25321,2.28575e-06,2.28575e-06,2.28575e-06
4,3.18877,1.64384,4.49232,1.72653,0.59628,0.43333,0.42743,0.30356,1.76544,2.2027,1.25841,3.35794e-06,3.35794e-06,3.35794e-06
5,3.8955,1.54184,5.32457,1.56924,0.6005,0.43333,0.40664,0.29316,1.75544,2.22138,1.25596,4.38301e-06,4.38301e-06,4.38301e-06
6,4.57092,1.6057,4.95248,1.55505,0.60926,0.43333,0.40656,0.29706,1.7384,2.2491,1.24849,5.36095e-06,5.36095e-06,5.36095e-06
7,5.17584,1.65551,4.41712,1.47023,0.61754,0.43333,0.40656,0.29706,1.72836,2.26191,1.24517,6.29177e-06,6.29177e-06,6.29177e-06
8,5.83693,1.56268,5.30573,1.61333,0.6142,0.43333,0.40672,0.29697,1.7041,2.27767,1.23384,7.17546e-06,7.17546e-06,7.17546e-06
9,6.58067,1.54835,5.87753,1.62474,0.61953,0.43333,0.40472,0.30507,1.69579,2.28969,1.2278,8.01203e-06,8.01203e-06,8.01203e-06
10,7.27851,1.63705,5.13431,1.55097,0.62288,0.43333,0.40477,0.30517,1.69856,2.26407,1.22419,8.80148e-06,8.80148e-06,8.80148e-06
11,8.2579,1.72036,5.0926,1.74473,0.62101,0.43333,0.40477,0.30517,1.69605,2.25802,1.21873,9.5438e-06,9.5438e-06,9.5438e-06
12,8.97763,1.2611,4.29842,1.36614,0.62251,0.43333,0.40477,0.30516,1.6841,2.23327,1.20871,1.0239e-05,1.0239e-05,1.0239e-05
13,9.64993,1.36144,3.6221,1.34412,0.62822,0.43333,0.40472,0.30515,1.67914,2.24135,1.20494,1.08871e-05,1.08871e-05,1.08871e-05
14,10.2563,1.45948,5.01551,1.55178,0.62148,0.43333,0.40464,0.29691,1.68566,2.24998,1.21021,1.1488e-05,1.1488e-05,1.1488e-05
15,10.8767,1.43745,4.08995,1.468,0.61651,0.43333,0.40464,0.29279,1.66809,2.24382,1.20441,1.20418e-05,1.20418e-05,1.20418e-05
16,11.5705,1.39502,3.7415,1.49588,0.62473,0.43333,0.48778,0.34262,1.69772,2.31469,1.21678,1.25486e-05,1.25486e-05,1.25486e-05
