epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5719,1.33895,4.95227,1.54909,0.61221,0.43333,0.42751,0.30379,1.76394,2.14799,1.25576,0,0,0
2,47.5749,1.3112,4.48837,1.47466,0.60301,0.43333,0.43459,0.30441,1.77183,2.16248,1.2545,1.16644e-06,1.16644e-06,1.16644e-06
3,48.2554,2.02212,4.5013,1.90382,0.65287,0.42858,0.43439,0.30861,1.77709,2.1834,1.26139,2.28575e-06,2.28575e-06,2.28575e-06
4,49.0288,1.77078,4.63098,1.70681,0.63108,0.43333,0.42735,0.30753,1.77872,2.21263,1.27041,3.35794e-06,3.35794e-06,3.35794e-06
5,49.8389,1.59759,5.22302,1.63885,0.63044,0.43333,0.40681,0.30528,1.75568,2.21165,1.25556,4.38301e-06,4.38301e-06,4.38301e-06
6,50.6155,1.81512,3.87241,1.63284,0.61444,0.43333,0.40649,0.29692,1.73067,2.21429,1.24185,5.36095e-06,5.36095e-06,5.36095e-06
7,51.3984,1.64361,4.97052,1.63159,0.61372,0.43333,0.40468,0.30506,1.73387,2.22474,1.23616,6.29177e-06,6.29177e-06,6.29177e-06
8,52.1915,1.46817,4.59982,1.56625,0.62022,0.43333,0.40464,0.29668,1.71762,2.20876,1.2245,7.17546e-06,7.17546e-06,7.17546e-06
9,53.044,1.73178,4.89974,1.53017,0.63108,0.43333,0.40464,0.29668,1.72429,2.21066,1.22593,8.01203e-06,8.01203e-06,8.01203e-06
10,53.8826,1.50932,4.65811,1.63688,0.63919,0.43333,0.40472,0.29671,1.73652,2.23622,1.22903,8.80148e-06,8.80148e-06,8.80148e-06
11,54.6983,1.39562,3.75399,1.42717,0.64589,0.43333,0.40456,0.29666,1.75654,2.25255,1.23565,9.5438e-06,9.5438e-06,9.5438e-06
12,55.6125,1.90385,5.39195,1.80438,0.65144,0.43333,0.4046,0.29667,1.76434,2.3001,1.23809,1.0239e-05,1.0239e-05,1.0239e-05
13,56.434,1.78285,4.87484,1.73111,0.6517,0.43333,0.40472,0.30507,1.76809,2.32162,1.23908,1.08871e-05,1.08871e-05,1.08871e-05
14,57.2475,1.45879,3.66304,1.42156,0.66596,0.35,0.4046,0.30503,1.76998,2.34587,1.23891,1.1488e-05,1.1488e-05,1.1488e-05
15,58.0556,1.42715,4.32197,1.52851,0.66404,0.35,0.40468,0.30506,1.75017,2.34101,1.23044,1.20418e-05,1.20418e-05,1.20418e-05
16,58.8456,1.5886,4.54008,1.53153,0.6605,0.43333,0.48741,0.36303,1.75084,2.35578,1.22931,1.25486e-05,1.25486e-05,1.25486e-05
17,59.6493,1.34772,4.08377,1.36228,0.63638,0.43333,0.48764,0.36318,1.70869,2.325,1.21299,1.30081e-05,1.30081e-05,1.30081e-05
18,60.4846,1.16994,3.62734,1.34629,0.64354,0.43333,0.48768,0.3632,1.70889,2.38322,1.20248,1.34206e-05,1.34206e-05,1.34206e-05
19,61.3544,1.36048,3.96498,1.52575,0.64335,0.43333,0.48773,0.36321,1.70597,2.40574,1.19738,1.37859e-05,1.37859e-05,1.37859e-05
20,62.1906,1.71343,4.60697,1.70292,0.64888,0.43333,0.48744,0.36311,1.69336,2.38701,1.18832,1.41041e-05,1.41041e-05,1.41041e-05
21,62.9902,1.66993,3.70997,1.63781,0.63051,0.43333,0.4876,0.36316,1.72213,2.43556,1.20266,1.43752e-05,1.43752e-05,1.43752e-05
22,63.8103,1.40598,3.95624,1.52758,0.59803,0.43333,0.48748,0.35907,1.69309,2.41918,1.19298,1.45992e-05,1.45992e-05,1.45992e-05
23,64.6753,1.26674,3.69951,1.46264,0.59004,0.43333,0.48756,0.35909,1.67069,2.40838,1.18118,1.4776e-05,1.4776e-05,1.4776e-05
24,65.5245,1.30214,4.36987,1.39352,0.582,0.43333,0.48764,0.35912,1.70107,2.45015,1.18627,1.49057e-05,1.49057e-05,1.49057e-05
25,66.3868,1.86978,4.69266,1.6503,0.59541,0.43333,0.48768,0.35914,1.6998,2.46198,1.1823,1.49883e-05,1.49883e-05,1.49883e-05
26,67.2213,1.46381,4.15538,1.42485,0.6116,0.43333,0.4876,0.3563,1.72282,2.47757,1.19005,1.50238e-05,1.50238e-05,1.50238e-05
27,68.0483,1.34966,4.1178,1.45235,0.63715,0.43333,0.4876,0.3563,1.73247,2.41036,1.19584,1.50121e-05,1.50121e-05,1.50121e-05
28,68.8692,1.89582,3.07756,1.72381,0.62614,0.43333,0.48756,0.35629,1.78464,2.49504,1.2011,1.49533e-05,1.49533e-05,1.49533e-05
29,69.6545,1.6297,3.86632,1.62374,0.64563,0.43333,0.48756,0.35629,1.77783,2.48444,1.19251,1.48474e-05,1.48474e-05,1.48474e-05
30,70.458,1.28788,3.69973,1.47575,0.66147,0.43333,0.48748,0.35626,1.77568,2.47525,1.18224,1.46944e-05,1.46944e-05,1.46944e-05
31,71.3265,1.65155,3.79505,1.61368,0.68857,0.43333,0.48756,0.35629,1.76955,2.47183,1.17564,1.44942e-05,1.44942e-05,1.44942e-05
32,72.158,1.35996,2.85527,1.4464,0.72235,0.48276,0.51533,0.36043,1.77578,2.50104,1.17676,1.42469e-05,1.42469e-05,1.42469e-05
33,72.9863,1.15469,3.49081,1.31885,0.17968,0.55,0.48752,0.35627,1.784,2.50986,1.18201,1.39525e-05,1.39525e-05,1.39525e-05
34,73.7805,1.46917,2.87908,1.38997,0.2315,0.55,0.51533,0.33838,1.80772,2.51831,1.18238,1.3611e-05,1.3611e-05,1.3611e-05
35,74.6018,1.39924,3.83465,1.41584,0.23524,0.55,0.51529,0.3383,1.79821,2.49191,1.17984,1.32223e-05,1.32223e-05,1.32223e-05
36,75.367,1.64773,3.65552,1.63121,0.23139,0.55,0.51519,0.33828,1.79328,2.46755,1.17911,1.27866e-05,1.27866e-05,1.27866e-05
37,76.2114,1.36904,3.20174,1.5756,0.23597,0.55,0.51533,0.33833,1.79239,2.47559,1.1781,1.23036e-05,1.23036e-05,1.23036e-05
38,77.036,1.20968,3.54629,1.38757,0.23187,0.55,0.51529,0.33824,1.79622,2.46557,1.17929,1.17736e-05,1.17736e-05,1.17736e-05
